 County Name, School Name, Address, City, State, Zip, Phone,Rating
ESSEX,MALCOLM X SHABAZZ HIGH SCHOOL,80 JOHNSON AVE,NEWARK,NJ,7108,(973)733-6974,1
ESSEX,MCKINLEY ELEMENTARY SCHOOL,1 COLONNADE PL,NEWARK,NJ,07104-1810,(973)268-5270,1
ESSEX,MILLER STREET SCHOOL,41 MILLER ST,NEWARK,NJ,07114-1750,(973)733-6815,3
ESSEX,NEWARK INNOVATION ACADEMY,190 Muhammad Ali Avenue,NEWARK,NJ,7108,(973)733-8326,1
ESSEX,NEWARK VOCATIONAL HIGH SCHOOL,301 WEST KINNEY ST,NEWARK,NJ,07103-2927,(973)733-7019,1
ESSEX,NEWTON STREET SCHOOL,150 NEWTON ST,NEWARK,NJ,07103-3075,(973)733-6848,2
ESSEX,OLIVER STREET SCHOOL,104 OLIVER ST,NEWARK,NJ,07105-1120,(973)465-4870,5
ESSEX,QUITMAN COMMUNITY SCHOOL,21 QUITMAN ST,NEWARK,NJ,07103-4105,(973)733-6947,1
ESSEX,RAFAEL HERNANDEZ SCHOOL,345 BROADWAY,NEWARK,NJ,7104,(973)481-5004,1
ESSEX,RIDGE STREET SCHOOL,735 RIDGE ST,NEWARK,NJ,07104-2323,(973)268-5210,5
ESSEX,ROBERTO CLEMENTE ELEMENTARY SCHOOL,257 SUMMER AVE,NEWARK,NJ,07104-2717,(973)268-5290,1
ESSEX,ROSEVILLE AVENUE ELEMENTARY SCHOOL,70 ROSEVILLE AVENUE,NEWARK,NJ,7103,(973)268-5312,2
ESSEX,SOUTH STREET ELEMENTARY SCHOOL,151 SOUTH ST,NEWARK,NJ,07114-2611,(973)465-4880,2
ESSEX,SPEEDWAY AVENUE SCHOOL,701 SOUTH ORANGE AVENUE,NEWARK,NJ,07106-2209,(973)374-2740,1
ESSEX,THIRTEENTH AVENUE SCHOOL MARTIN LUTHER KING,359 THIRTEENTH AVE,NEWARK,NJ,07103-2125,(973)733-7045,1
ESSEX,Technology High School,223 BROADWAY,NEWARK,NJ,7102,(973)481-5962,7
ESSEX,WEST SIDE HIGH SCOOL,403 SOUTH ORANGE AVE,NEWARK,NJ,07103-1924,(973)733-6630,1
ESSEX,WILSON AVENUE SCHOOL,19 WILSON AVE,NEWARK,NJ,07108-3214,(973)465-4910,5
HUDSON,East Newark Public School,501  11 NORTH THIRD STREET,E NEWARK,NJ,7029,(973)481-6800,3
HUDSON,Harrison High School,800 Hamilton Street,HARRISON,NJ,07029-1405,(973)482-5050,3
HUDSON,Lincoln Elementary School,221 CROSS STREET,HARRISON,NJ,07029-2613,(973)483-6400,3
HUDSON,Washington Middle School,One Nortrh Fifth Street,HARRISON,NJ,07029-2515,(973)483-2285,4
HUDSON,Franklin Elementary School,100 DAVIS AVE,KEARNY,NJ,07032-3328,(201)955-5020,4
HUDSON,Garfield Elementary School,360 BELGROVE DR,KEARNY,NJ,07032-1628,(201)955-5090,3
HUDSON,Kearny High School,336 DEVON ST,KEARNY,NJ,07032-2612,(201)955-5048,5
HUDSON,Lincoln Elementary School,121 BEECH ST,KEARNY,NJ,07032-2707,(201)955-5095,4
HUDSON,ROOSEVELT ELEMENTARY SCHOOL,733 KEARNY AVE,KEARNY,NJ,07032-3005,(201)955-5100,5
HUDSON,Schuyler Elementary School,644 FOREST ST,KEARNY,NJ,07032-3798,(201)955-5105,5
HUDSON,Washington Elementary School,80 BELGROVE DR,KEARNY,NJ,07032-1504,(201)955-5110,5
